[seqwish::seqidx] 1.312 indexing sequences
[seqwish::seqidx] 2125.054 index built
[seqwish::alignments] 2125.054 processing alignments
[seqwish::alignments] 6664.320 indexing
[seqwish::alignments] 46258.170 index built
[seqwish::transclosure] 56035.327 11.17% 22636036518-22686234673 dset_invert
[seqwish::transclosure] 56050.155 11.17% 22636036518-22686234673 graph_emission
[seqwish::transclosure] 56450.297 12.74% 22686234673-22736234673 overlap_collect
[seqwish::transclosure] 56585.816 12.74% 22686234673-22736234673 rank_build
[seqwish::transclosure] 56693.883 12.74% 22686234673-22736234673 parallel_union_find
[seqwish::transclosure] 57279.850 12.74% 22686234673-22736234673 dset_write
[seqwish::transclosure] 57308.960 12.74% 22686234673-22736234673 dset_compression
[seqwish::transclosure] 57328.467 12.74% 22686234673-22736234673 dset_sort
[seqwish::transclosure] 57341.299 12.74% 22686234673-22736234673 dset_invert
[seqwish::transclosure] 57356.796 12.74% 22686234673-22736234673 graph_emission
[seqwish::transclosure] 57728.456 14.39% 22736234673-22786234673 overlap_collect
[seqwish::transclosure] 57863.961 14.39% 22736234673-22786234673 rank_build
[seqwish::transclosure] 57977.189 14.39% 22736234673-22786234673 parallel_union_find
[seqwish::transclosure] 58528.259 14.39% 22736234673-22786234673 dset_write
[seqwish::transclosure] 58557.820 14.39% 22736234673-22786234673 dset_compression
[seqwish::transclosure] 58580.715 14.39% 22736234673-22786234673 dset_sort
[seqwish::transclosure] 58593.550 14.39% 22736234673-22786234673 dset_invert
[seqwish::transclosure] 58608.914 14.39% 22736234673-22786234673 graph_emission
[seqwish::transclosure] 58948.530 16.04% 22786234673-23698057881 overlap_collect
[seqwish::transclosure] 59130.371 16.04% 22786234673-23698057881 rank_build
[seqwish::transclosure] 59202.975 16.04% 22786234673-23698057881 parallel_union_find
[seqwish::transclosure] 59378.542 16.04% 22786234673-23698057881 dset_write
[seqwish::transclosure] 59384.559 16.04% 22786234673-23698057881 dset_compression
[seqwish::transclosure] 59389.611 16.04% 22786234673-23698057881 dset_sort
[seqwish::transclosure] 59392.316 16.04% 22786234673-23698057881 dset_invert
[seqwish::transclosure] 59395.404 16.04% 22786234673-23698057881 graph_emission
[seqwish::transclosure] 59856.364 16.40% 23698065034-29777736318 overlap_collect
[seqwish::transclosure] 59892.446 16.40% 23698065034-29777736318 rank_build
[seqwish::transclosure] 59948.979 16.40% 23698065034-29777736318 parallel_union_find
[seqwish::transclosure] 59950.693 16.40% 23698065034-29777736318 dset_write
[seqwish::transclosure] 59951.250 16.40% 23698065034-29777736318 dset_compression
[seqwish::transclosure] 59951.616 16.40% 23698065034-29777736318 dset_sort
[seqwish::transclosure] 59951.991 16.40% 23698065034-29777736318 dset_invert
[seqwish::transclosure] 59952.410 16.40% 23698065034-29777736318 graph_emission
[seqwish::transclosure] 60069.288 16.43% 29777736318-36737397523 overlap_collect
[seqwish::transclosure] 60090.767 16.43% 29777736318-36737397523 rank_build
[seqwish::transclosure] 60146.566 16.43% 29777736318-36737397523 parallel_union_find
[seqwish::transclosure] 60146.797 16.43% 29777736318-36737397523 dset_write
[seqwish::transclosure] 60147.168 16.43% 29777736318-36737397523 dset_compression
[seqwish::transclosure] 60147.544 16.43% 29777736318-36737397523 dset_sort
[seqwish::transclosure] 60147.907 16.43% 29777736318-36737397523 dset_invert
[seqwish::transclosure] 60148.276 16.43% 29777736318-36737397523 graph_emission
[seqwish::transclosure] 60181.662 16.45% 36737397523-44391429604 overlap_collect
[seqwish::transclosure] 60227.351 16.45% 36737397523-44391429604 rank_build
[seqwish::transclosure] 60290.172 16.45% 36737397523-44391429604 parallel_union_find
[seqwish::transclosure] 60319.665 16.45% 36737397523-44391429604 dset_write
[seqwish::transclosure] 60323.277 16.45% 36737397523-44391429604 dset_compression
[seqwish::transclosure] 60326.482 16.45% 36737397523-44391429604 dset_sort
[seqwish::transclosure] 60329.537 16.45% 36737397523-44391429604 dset_invert
[seqwish::transclosure] 60332.492 16.45% 36737397523-44391429604 graph_emission
[seqwish::transclosure] 60356.101 16.70% 44391429604-44441429604 overlap_collect
[seqwish::transclosure] 60490.359 16.70% 44391429604-44441429604 rank_build
[seqwish::transclosure] 60595.671 16.70% 44391429604-44441429604 parallel_union_find
[seqwish::transclosure] 60821.969 16.70% 44391429604-44441429604 dset_write
[seqwish::transclosure] 60847.701 16.70% 44391429604-44441429604 dset_compression
[seqwish::transclosure] 60874.525 16.70% 44391429604-44441429604 dset_sort
[seqwish::transclosure] 60887.404 16.70% 44391429604-44441429604 dset_invert
[seqwish::transclosure] 60902.242 16.70% 44391429604-44441429604 graph_emission
[seqwish::transclosure] 60926.121 18.35% 44441429604-44491429604 overlap_collect
