[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2103.997 index built
[seqwish::alignments] 2103.997 processing alignments
[seqwish::alignments] 6524.770 indexing
[seqwish::alignments] 40892.760 index built
[seqwish::transclosure] 46896.503 8.36% 19310245401-20788084714 dset_invert
[seqwish::transclosure] 46896.821 8.36% 19310245401-20788084714 graph_emission
[seqwish::transclosure] 46911.423 8.38% 20788084714-21332056732 overlap_collect
[seqwish::transclosure] 46913.392 8.38% 20788084714-21332056732 rank_build
[seqwish::transclosure] 46968.857 8.38% 20788084714-21332056732 parallel_union_find
[seqwish::transclosure] 46969.209 8.38% 20788084714-21332056732 dset_write
[seqwish::transclosure] 46969.488 8.38% 20788084714-21332056732 dset_compression
[seqwish::transclosure] 46969.715 8.38% 20788084714-21332056732 dset_sort
[seqwish::transclosure] 46970.088 8.38% 20788084714-21332056732 dset_invert
[seqwish::transclosure] 46970.458 8.38% 20788084714-21332056732 graph_emission
[seqwish::transclosure] 46984.558 8.40% 21332056732-22561996706 overlap_collect
[seqwish::transclosure] 47012.208 8.40% 21332056732-22561996706 rank_build
[seqwish::transclosure] 47077.000 8.40% 21332056732-22561996706 parallel_union_find
[seqwish::transclosure] 47116.195 8.40% 21332056732-22561996706 dset_write
[seqwish::transclosure] 47120.818 8.40% 21332056732-22561996706 dset_compression
[seqwish::transclosure] 47124.965 8.40% 21332056732-22561996706 dset_sort
[seqwish::transclosure] 47127.606 8.40% 21332056732-22561996706 dset_invert
[seqwish::transclosure] 47131.076 8.40% 21332056732-22561996706 graph_emission
[seqwish::transclosure] 47146.711 8.72% 22561996706-22611996706 overlap_collect
[seqwish::transclosure] 47288.690 8.72% 22561996706-22611996706 rank_build
[seqwish::transclosure] 47394.567 8.72% 22561996706-22611996706 parallel_union_find
[seqwish::transclosure] 47612.887 8.72% 22561996706-22611996706 dset_write
[seqwish::transclosure] 47637.347 8.72% 22561996706-22611996706 dset_compression
[seqwish::transclosure] 47658.578 8.72% 22561996706-22611996706 dset_sort
[seqwish::transclosure] 47671.209 8.72% 22561996706-22611996706 dset_invert
[seqwish::transclosure] 47685.971 8.72% 22561996706-22611996706 graph_emission
[seqwish::transclosure] 47709.044 10.36% 22611996706-22662142053 overlap_collect
[seqwish::transclosure] 47833.963 10.36% 22611996706-22662142053 rank_build
[seqwish::transclosure] 47938.497 10.36% 22611996706-22662142053 parallel_union_find
[seqwish::transclosure] 48144.368 10.36% 22611996706-22662142053 dset_write
[seqwish::transclosure] 48170.879 10.36% 22611996706-22662142053 dset_compression
[seqwish::transclosure] 48191.876 10.36% 22611996706-22662142053 dset_sort
[seqwish::transclosure] 48212.805 10.36% 22611996706-22662142053 dset_invert
[seqwish::transclosure] 48226.072 10.36% 22611996706-22662142053 graph_emission
[seqwish::transclosure] 48564.792 11.93% 22662142053-22712329681 overlap_collect
[seqwish::transclosure] 48698.335 11.93% 22662142053-22712329681 rank_build
[seqwish::transclosure] 48804.217 11.93% 22662142053-22712329681 parallel_union_find
[seqwish::transclosure] 49024.850 11.93% 22662142053-22712329681 dset_write
[seqwish::transclosure] 49049.081 11.93% 22662142053-22712329681 dset_compression
[seqwish::transclosure] 49070.661 11.93% 22662142053-22712329681 dset_sort
[seqwish::transclosure] 49083.255 11.93% 22662142053-22712329681 dset_invert
