octopus08
[seqwish::seqidx] 0.015 indexing sequences
[seqwish::seqidx] 907.437 index built
[seqwish::alignments] 907.438 processing alignments
[seqwish::alignments] 1971.214 indexing
[seqwish::alignments] 5399.451 index built
[seqwish::transclosure] 14736.478 38.83% 1200911657-1250911657 dset_invert
[seqwish::transclosure] 14745.659 38.83% 1200911657-1250911657 graph_emission
[seqwish::transclosure] 14907.644 40.48% 1250911657-1300911657 overlap_collect
[seqwish::transclosure] 14939.314 40.48% 1250911657-1300911657 rank_build
[seqwish::transclosure] 14983.539 40.48% 1250911657-1300911657 parallel_union_find
[seqwish::transclosure] 15089.121 40.48% 1250911657-1300911657 dset_write
[seqwish::transclosure] 15101.630 40.48% 1250911657-1300911657 dset_compression
[seqwish::transclosure] 15114.243 40.48% 1250911657-1300911657 dset_sort
[seqwish::transclosure] 15119.036 40.48% 1250911657-1300911657 dset_invert
[seqwish::transclosure] 15129.551 40.48% 1250911657-1300911657 graph_emission
[seqwish::transclosure] 15300.458 42.16% 1300911708-1353675809 overlap_collect
[seqwish::transclosure] 15330.045 42.16% 1300911708-1353675809 rank_build
[seqwish::transclosure] 15377.538 42.16% 1300911708-1353675809 parallel_union_find
[seqwish::transclosure] 15476.114 42.16% 1300911708-1353675809 dset_write
[seqwish::transclosure] 15488.787 42.16% 1300911708-1353675809 dset_compression
[seqwish::transclosure] 15500.732 42.16% 1300911708-1353675809 dset_sort
[seqwish::transclosure] 15505.337 42.16% 1300911708-1353675809 dset_invert
[seqwish::transclosure] 15514.255 42.16% 1300911708-1353675809 graph_emission
[seqwish::transclosure] 15707.782 43.80% 1353675809-1403675809 overlap_collect
[seqwish::transclosure] 15737.057 43.80% 1353675809-1403675809 rank_build
[seqwish::transclosure] 15786.350 43.80% 1353675809-1403675809 parallel_union_find
[seqwish::transclosure] 15903.372 43.80% 1353675809-1403675809 dset_write
[seqwish::transclosure] 15916.197 43.80% 1353675809-1403675809 dset_compression
[seqwish::transclosure] 15927.563 43.80% 1353675809-1403675809 dset_sort
[seqwish::transclosure] 15932.264 43.80% 1353675809-1403675809 dset_invert
[seqwish::transclosure] 15941.984 43.80% 1353675809-1403675809 graph_emission
[seqwish::transclosure] 16111.602 45.46% 1403675809-1453675809 overlap_collect
[seqwish::transclosure] 16145.165 45.46% 1403675809-1453675809 rank_build
[seqwish::transclosure] 16190.144 45.46% 1403675809-1453675809 parallel_union_find
[seqwish::transclosure] 16291.161 45.46% 1403675809-1453675809 dset_write
[seqwish::transclosure] 16305.120 45.46% 1403675809-1453675809 dset_compression
[seqwish::transclosure] 16317.259 45.46% 1403675809-1453675809 dset_sort
[seqwish::transclosure] 16322.057 45.46% 1403675809-1453675809 dset_invert
[seqwish::transclosure] 16331.764 45.46% 1403675809-1453675809 graph_emission
[seqwish::transclosure] 16503.500 47.07% 1453675809-1503675809 overlap_collect
[seqwish::transclosure] 16529.645 47.07% 1453675809-1503675809 rank_build
[seqwish::transclosure] 16577.238 47.07% 1453675809-1503675809 parallel_union_find
[seqwish::transclosure] 16680.071 47.07% 1453675809-1503675809 dset_write
[seqwish::transclosure] 16692.255 47.07% 1453675809-1503675809 dset_compression
[seqwish::transclosure] 16704.804 47.07% 1453675809-1503675809 dset_sort
[seqwish::transclosure] 16709.501 47.07% 1453675809-1503675809 dset_invert
[seqwish::transclosure] 16720.257 47.07% 1453675809-1503675809 graph_emission
[seqwish::transclosure] 16904.536 48.72% 1503675809-1553675809 overlap_collect
[seqwish::transclosure] 16933.815 48.72% 1503675809-1553675809 rank_build
[seqwish::transclosure] 16980.790 48.72% 1503675809-1553675809 parallel_union_find
[seqwish::transclosure] 17092.241 48.72% 1503675809-1553675809 dset_write
[seqwish::transclosure] 17107.282 48.72% 1503675809-1553675809 dset_compression
[seqwish::transclosure] 17119.754 48.72% 1503675809-1553675809 dset_sort
[seqwish::transclosure] 17124.448 48.72% 1503675809-1553675809 dset_invert
[seqwish::transclosure] 17135.647 48.72% 1503675809-1553675809 graph_emission
[seqwish::transclosure] 17305.240 50.38% 1553675809-1603675809 overlap_collect
[seqwish::transclosure] 17357.190 50.38% 1553675809-1603675809 rank_build
[seqwish::transclosure] 17396.354 50.38% 1553675809-1603675809 parallel_union_find
[seqwish::transclosure] 17480.627 50.38% 1553675809-1603675809 dset_write
[seqwish::transclosure] 17491.525 50.38% 1553675809-1603675809 dset_compression
[seqwish::transclosure] 17502.649 50.38% 1553675809-1603675809 dset_sort
[seqwish::transclosure] 17508.058 50.38% 1553675809-1603675809 dset_invert
[seqwish::transclosure] 17519.332 50.38% 1553675809-1603675809 graph_emission
[seqwish::transclosure] 17684.363 51.82% 1603675809-1657037116 overlap_collect
[seqwish::transclosure] 17705.075 51.82% 1603675809-1657037116 rank_build
[seqwish::transclosure] 17743.385 51.82% 1603675809-1657037116 parallel_union_find
[seqwish::transclosure] 17806.673 51.82% 1603675809-1657037116 dset_write
[seqwish::transclosure] 17815.205 51.82% 1603675809-1657037116 dset_compression
[seqwish::transclosure] 17829.701 51.82% 1603675809-1657037116 dset_sort
[seqwish::transclosure] 17832.971 51.82% 1603675809-1657037116 dset_invert
[seqwish::transclosure] 17844.626 51.82% 1603675809-1657037116 graph_emission
[seqwish::transclosure] 18016.323 52.86% 1657037116-1707087761 overlap_collect
[seqwish::transclosure] 18045.376 52.86% 1657037116-1707087761 rank_build
[seqwish::transclosure] 18084.876 52.86% 1657037116-1707087761 parallel_union_find
[seqwish::transclosure] 18185.709 52.86% 1657037116-1707087761 dset_write
[seqwish::transclosure] 18198.394 52.86% 1657037116-1707087761 dset_compression
[seqwish::transclosure] 18208.565 52.86% 1657037116-1707087761 dset_sort
[seqwish::transclosure] 18213.225 52.86% 1657037116-1707087761 dset_invert
[seqwish::transclosure] 18221.328 52.86% 1657037116-1707087761 graph_emission
[seqwish::transclosure] 18298.838 54.52% 1707087761-1757087761 overlap_collect
[seqwish::transclosure] 18330.030 54.52% 1707087761-1757087761 rank_build
