octopus08
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 891.785 index built
[seqwish::alignments] 891.786 processing alignments
[seqwish::alignments] 1665.702 indexing
[seqwish::alignments] 3846.479 index built
[seqwish::transclosure] 11587.227 33.37% 1050356765-1100431934 overlap_collect
[seqwish::transclosure] 11611.774 33.37% 1050356765-1100431934 rank_build
[seqwish::transclosure] 11656.964 33.37% 1050356765-1100431934 parallel_union_find
[seqwish::transclosure] 11766.762 33.37% 1050356765-1100431934 dset_write
[seqwish::transclosure] 11778.483 33.37% 1050356765-1100431934 dset_compression
[seqwish::transclosure] 11790.706 33.37% 1050356765-1100431934 dset_sort
[seqwish::transclosure] 11795.300 33.37% 1050356765-1100431934 dset_invert
[seqwish::transclosure] 11807.912 33.37% 1050356765-1100431934 graph_emission
[seqwish::transclosure] 11972.419 34.99% 1100431934-1150431934 overlap_collect
[seqwish::transclosure] 11995.475 34.99% 1100431934-1150431934 rank_build
[seqwish::transclosure] 12040.705 34.99% 1100431934-1150431934 parallel_union_find
[seqwish::transclosure] 12155.365 34.99% 1100431934-1150431934 dset_write
[seqwish::transclosure] 12167.192 34.99% 1100431934-1150431934 dset_compression
[seqwish::transclosure] 12178.706 34.99% 1100431934-1150431934 dset_sort
[seqwish::transclosure] 12183.116 34.99% 1100431934-1150431934 dset_invert
[seqwish::transclosure] 12193.130 34.99% 1100431934-1150431934 graph_emission
[seqwish::transclosure] 12358.897 36.57% 1150431934-1200431934 overlap_collect
[seqwish::transclosure] 12382.447 36.57% 1150431934-1200431934 rank_build
[seqwish::transclosure] 12422.110 36.57% 1150431934-1200431934 parallel_union_find
[seqwish::transclosure] 12534.671 36.57% 1150431934-1200431934 dset_write
[seqwish::transclosure] 12547.423 36.57% 1150431934-1200431934 dset_compression
[seqwish::transclosure] 12557.273 36.57% 1150431934-1200431934 dset_sort
[seqwish::transclosure] 12561.872 36.57% 1150431934-1200431934 dset_invert
[seqwish::transclosure] 12572.345 36.57% 1150431934-1200431934 graph_emission
[seqwish::transclosure] 12743.221 38.20% 1200431934-1250431934 overlap_collect
[seqwish::transclosure] 12768.157 38.20% 1200431934-1250431934 rank_build
[seqwish::transclosure] 12814.792 38.20% 1200431934-1250431934 parallel_union_find
[seqwish::transclosure] 12931.317 38.20% 1200431934-1250431934 dset_write
[seqwish::transclosure] 12943.521 38.20% 1200431934-1250431934 dset_compression
[seqwish::transclosure] 12954.821 38.20% 1200431934-1250431934 dset_sort
[seqwish::transclosure] 12959.483 38.20% 1200431934-1250431934 dset_invert
[seqwish::transclosure] 12969.331 38.20% 1200431934-1250431934 graph_emission
[seqwish::transclosure] 13127.152 39.82% 1250431934-1300431934 overlap_collect
[seqwish::transclosure] 13151.830 39.82% 1250431934-1300431934 rank_build
[seqwish::transclosure] 13197.681 39.82% 1250431934-1300431934 parallel_union_find
[seqwish::transclosure] 13297.431 39.82% 1250431934-1300431934 dset_write
[seqwish::transclosure] 13309.421 39.82% 1250431934-1300431934 dset_compression
[seqwish::transclosure] 13321.177 39.82% 1250431934-1300431934 dset_sort
[seqwish::transclosure] 13325.952 39.82% 1250431934-1300431934 dset_invert
[seqwish::transclosure] 13336.157 39.82% 1250431934-1300431934 graph_emission
[seqwish::transclosure] 13506.991 41.48% 1300438181-1352934058 overlap_collect
[seqwish::transclosure] 13531.087 41.48% 1300438181-1352934058 rank_build
[seqwish::transclosure] 13570.926 41.48% 1300438181-1352934058 parallel_union_find
[seqwish::transclosure] 13663.629 41.48% 1300438181-1352934058 dset_write
[seqwish::transclosure] 13676.444 41.48% 1300438181-1352934058 dset_compression
[seqwish::transclosure] 13693.647 41.48% 1300438181-1352934058 dset_sort
[seqwish::transclosure] 13698.308 41.48% 1300438181-1352934058 dset_invert
[seqwish::transclosure] 13715.964 41.48% 1300438181-1352934058 graph_emission
[seqwish::transclosure] 13895.577 43.09% 1352934058-1402934058 overlap_collect
[seqwish::transclosure] 13919.918 43.09% 1352934058-1402934058 rank_build
[seqwish::transclosure] 13968.288 43.09% 1352934058-1402934058 parallel_union_find
[seqwish::transclosure] 14067.817 43.09% 1352934058-1402934058 dset_write
[seqwish::transclosure] 14080.192 43.09% 1352934058-1402934058 dset_compression
[seqwish::transclosure] 14093.365 43.09% 1352934058-1402934058 dset_sort
[seqwish::transclosure] 14100.854 43.09% 1352934058-1402934058 dset_invert
[seqwish::transclosure] 14111.576 43.09% 1352934058-1402934058 graph_emission
[seqwish::transclosure] 14271.724 44.72% 1402934058-1452934058 overlap_collect
[seqwish::transclosure] 14295.914 44.72% 1402934058-1452934058 rank_build
[seqwish::transclosure] 14337.023 44.72% 1402934058-1452934058 parallel_union_find
[seqwish::transclosure] 14436.356 44.72% 1402934058-1452934058 dset_write
[seqwish::transclosure] 14448.661 44.72% 1402934058-1452934058 dset_compression
[seqwish::transclosure] 14458.062 44.72% 1402934058-1452934058 dset_sort
[seqwish::transclosure] 14462.547 44.72% 1402934058-1452934058 dset_invert
[seqwish::transclosure] 14469.848 44.72% 1402934058-1452934058 graph_emission
[seqwish::transclosure] 14650.739 46.29% 1452934058-1502934058 overlap_collect
[seqwish::transclosure] 14677.787 46.29% 1452934058-1502934058 rank_build
[seqwish::transclosure] 14736.291 46.29% 1452934058-1502934058 parallel_union_find
[seqwish::transclosure] 14859.303 46.29% 1452934058-1502934058 dset_write
[seqwish::transclosure] 14871.623 46.29% 1452934058-1502934058 dset_compression
[seqwish::transclosure] 14885.002 46.29% 1452934058-1502934058 dset_sort
[seqwish::transclosure] 14892.732 46.29% 1452934058-1502934058 dset_invert
[seqwish::transclosure] 14902.005 46.29% 1452934058-1502934058 graph_emission
[seqwish::transclosure] 15049.615 47.92% 1502934058-1552934058 overlap_collect
